"label","JMJD3_0","JMJD3_1","IRF4_0","IRF4_1","HIF1a_0","HIF1a_1","ERK_0","ERK_1","IRF3_0","IRF3_1","TRAF2_0","TRAF2_1","JNK_0","JNK_1","KLF4_0","KLF4_1","SOCS1_0","SOCS1_1","PPARG_0","PPARG_1","STAT3_IL6_0","STAT3_IL6_1","STAT3_IL10_0","STAT3_IL10_1","SOCS3_0","SOCS3_1","ISGF3_0","ISGF3_1","NFKB_0","NFKB_1","AP1_0","AP1_1","IRF1_0","IRF1_1","IRF7_0","IRF7_1","STAT1_0","STAT1_1","STAT5_0","STAT5_1","STAT4_0","STAT4_1","STAT6_0","STAT6_1","Other_0","Other_1","D1_0","D1_1","FCGR_0","FCGR_1","IL6R_0","IL6R_1","TLR4_0","TLR4_1","IL1R_0","IL1R_1","IFNAR1_0","IFNAR1_1","TNFR_0","TNFR_1","IL10R_0","IL10R_1","IFNGR_0","IFNGR_1","A2aR_0","A2aR_1","CSF2Ra_0","CSF2Ra_1","IL4Ra_0","IL4Ra_1","IL12R_0","IL12R_1","IFNG_e_0","IFNG_e_1","GMCSF_e_0","GMCSF_e_1","IL1B_e_0","IL1B_e_1","IgG_e_0","IgG_e_1","LPS_e_0","LPS_e_1","Adenosine_e_0","Adenosine_e_1","EGFR_e_0","EGFR_e_1","IL4_e_0","IL4_e_1","IL6_e_0","IL6_e_1","IL10_e_0","IL10_e_1","IFNb_e_0","IFNb_e_1","TNFa_e_0","TNFa_e_1","IL12_e_0","IL12_e_1","IFNb_low_0","IFNb_low_1","IFNa_out_0","IFNa_out_1","IFNG_out_0","IFNG_out_1","IFNb_out_0","IFNb_out_1","CXCL10_out_0","CXCL10_out_1","IL12_out_0","IL12_out_1","VEGF_out_0","VEGF_out_1","IL6_out_0","IL6_out_1","IL10_out_0","IL10_out_1","TNFa_out_0","TNFa_out_1"
"Discarded*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Discarded/M2a*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Discarded/M2c*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Discardedb*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M0",48,48,96,96,96,NA,96,NA,96,64,192,NA,240,NA,96,144,96,1152,528,144,192,NA,192,NA,96,768,64,64,144,NA,96,96,96,96,64,64,384,NA,96,96,192,NA,192,NA,96,NA,96,NA,96,NA,192,NA,144,NA,144,NA,64,64,192,NA,192,NA,384,NA,96,96,96,96,192,NA,192,NA,96,NA,48,48,96,NA,48,48,96,NA,48,48,48,48,96,NA,96,NA,96,NA,64,32,96,NA,96,NA,96,64,96,64,192,NA,96,64,96,96,96,NA,96,NA,3296,NA,5520,NA,96,NA
"M0*",16,16,32,32,32,NA,32,NA,32,NA,64,NA,160,NA,32,48,32,384,176,48,64,NA,64,NA,32,256,NA,NA,48,NA,32,32,32,32,NA,NA,128,NA,32,32,64,NA,64,NA,32,NA,32,NA,32,NA,64,NA,48,NA,48,NA,NA,NA,64,NA,64,NA,128,NA,32,32,32,32,64,NA,64,NA,32,NA,16,16,32,NA,16,16,32,NA,16,16,16,16,32,NA,32,NA,32,NA,32,NA,32,NA,32,NA,32,NA,32,NA,64,NA,32,NA,32,32,32,NA,32,NA,32,NA,1616,NA,32,NA
"M0/NoLabel*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
"M1",4224,4224,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,4480,7040,7040,7040,7040,7040,10240,NA,14080,NA,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,NA,14080,7040,7040,7040,7040,5632,2816,7040,7040,7040,7040,5120,10240,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,10240,3840,NA,7040,7040,7040,7040,7040,5632,8448,7040,7040,3520,3520,3520,3520,3200,3840,2560,4480,3200,3840,3520,3520,NA,7040,2816,4224,3520,3520,5120,1920,3520,3520,3520,3520,3520,3520,7040,7040,9920,7040,3520,7040,7040,7040,7040,7040,NA,10240,7040,NA,7040,7040,7040,NA,7040,7040
"M1*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1/M1M2/M2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
